x_m,y_m,vx_mps
-31.646319,36.162810,2.0
-32.167959,36.231308,2.0
-32.689599,36.305075,2.0
-33.211239,36.384112,2.0
-33.732879,36.468417,2.0
-34.254519,36.557992,2.0
-34.776159,36.652835,2.0
-35.297799,36.747679,2.0
-35.819439,36.847792,2.0
-36.341079,36.953174,2.0
-36.862719,37.058555,2.0
-37.384359,37.163937,2.0
-37.905999,37.269319,2.0
-38.427639,37.369432,2.0
-38.949279,37.464275,2.0
-39.470919,37.553850,2.0
-39.992559,37.632886,2.0
-40.514199,37.701385,2.0
-41.035839,37.759345,2.0
-41.557479,37.796228,2.0
-42.079119,37.812035,2.0
-42.595490,37.796228,2.0
-43.106592,37.748806,2.0
-43.612425,37.669770,2.0
-44.112988,37.553850,2.0
-44.603014,37.401046,2.0
-45.082501,37.206090,2.0
-45.546181,36.968981,2.0
-45.988785,36.689719,2.0
-46.405043,36.368305,2.0
-46.789686,36.010006,2.0
-47.137446,35.614825,2.0
-47.448323,35.193297,2.0
-47.722316,34.745425,2.0
-47.954156,34.276475,2.0
-48.138574,33.791719,2.0
-48.280839,33.291155,2.0
-48.375683,32.780054,2.0
-48.423105,32.263683,2.0
-48.423105,31.747312,2.0
-48.380952,31.230941,2.0
-48.301916,30.719839,2.0
-48.185996,30.214006,2.0
-48.043730,29.713443,2.0
-47.869850,29.218148,2.0
-47.674894,28.728123,2.0
-47.464130,28.243366,2.0
-47.232290,27.763879,2.0
-46.989912,27.289661,2.0
-46.742265,26.820712,2.0
-46.489348,26.351763,2.0
-46.231163,25.888083,2.0
-45.972977,25.424403,2.0
-45.714792,24.960723,2.0
-45.451337,24.497043,2.0
-45.193152,24.033363,2.0
-44.929697,23.569683,2.0
-44.660974,23.106003,2.0
-44.397519,22.642323,2.0
-44.128796,22.178643,2.0
-43.860072,21.714963,2.0
-43.591348,21.251283,2.0
-43.322625,20.787603,2.0
-43.043363,20.323923,2.0
-42.758832,19.865512,2.0
-42.463763,19.412370,2.0
-42.152886,18.969766,2.0
-41.826203,18.542970,2.0
-41.483712,18.137250,2.0
-41.120145,17.752606,2.0
-40.735501,17.394308,2.0
-40.324512,17.067625,2.0
-39.892446,16.777825,2.0
-39.439305,16.524908,2.0
-38.970356,16.319414,2.0
-38.485599,16.156072,2.0
-37.990305,16.040152,2.0
-37.484472,15.971654,2.0
-36.973370,15.945308,2.0
-36.462268,15.961115,2.0
-35.951166,16.019075,2.0
-35.445334,16.119188,2.0
-34.950039,16.261454,2.0
-34.470552,16.445872,2.0
-34.006872,16.672443,2.0
-33.558999,16.935897,2.0
-33.132203,17.236235,2.0
-32.721214,17.568188,2.0
-32.326032,17.926486,2.0
-31.946657,18.305861,2.0
-31.572552,18.701043,2.0
-31.203716,19.106763,2.0
-30.834879,19.517752,2.0
-30.460774,19.928741,2.0
-30.081399,20.334461,2.0
-29.691486,20.729643,2.0
-29.291036,21.114286,2.0
-28.874777,21.483123,2.0
-28.447981,21.830883,2.0
-28.010646,22.157566,2.0
-27.557505,22.468443,2.0
-27.093825,22.758243,2.0
-26.619606,23.032235,2.0
-26.140119,23.285152,2.0
-25.655363,23.516992,2.0
-25.160068,23.727755,2.0
-24.659505,23.917443,2.0
-24.153672,24.080785,2.0
-23.642570,24.223050,2.0
-23.126199,24.349508,2.0
-22.604559,24.460159,2.0
-22.082919,24.549734,2.0
-21.561279,24.628770,2.0
-21.039639,24.691999,2.0
-20.517999,24.749959,2.0
-19.996359,24.797381,2.0
-19.474719,24.839534,2.0
-18.953079,24.876417,2.0
-18.431439,24.908032,2.0
-17.909799,24.939646,2.0
-17.388159,24.965992,2.0
-16.866519,24.987068,2.0
-16.344879,25.013414,2.0
-15.823239,25.034490,2.0
-15.301599,25.055566,2.0
-14.779959,25.071374,2.0
-14.258319,25.081912,2.0
-13.736679,25.087181,2.0
-13.215039,25.092450,2.0
-12.693399,25.097719,2.0
-12.171759,25.097719,2.0
-11.650119,25.097719,2.0
-11.128479,25.097719,2.0
-10.606839,25.092450,2.0
-10.085199,25.087181,2.0
-9.563559,25.081912,2.0
-9.041919,25.076643,2.0
-8.520279,25.076643,2.0
-7.998639,25.076643,2.0
-7.476999,25.081912,2.0
-6.955359,25.087181,2.0
-6.433719,25.092450,2.0
-5.912079,25.097719,2.0
-5.390439,25.102988,2.0
-4.868799,25.108257,2.0
-4.347159,25.118795,2.0
-3.825519,25.129334,2.0
-3.303879,25.139872,2.0
-2.782239,25.150410,2.0
-2.260599,25.160948,2.0
-1.738959,25.171486,2.0
-1.217319,25.182025,2.0
-0.695679,25.192563,2.0
-0.174039,25.203101,2.0
0.347601,25.218908,2.0
0.869241,25.234715,2.0
1.390881,25.245254,2.0
1.912521,25.255792,2.0
2.434161,25.266330,2.0
2.955801,25.282137,2.0
3.477441,25.297945,2.0
3.999081,25.308483,2.0
4.520721,25.319021,2.0
5.042361,25.334828,2.0
5.564001,25.350635,2.0
6.085641,25.361174,2.0
6.607281,25.371712,2.0
7.128921,25.382250,2.0
7.650561,25.398057,2.0
8.172201,25.413865,2.0
8.693841,25.424403,2.0
9.215481,25.434941,2.0
9.737121,25.445479,2.0
10.258761,25.461286,2.0
10.780401,25.471825,2.0
11.302041,25.482363,2.0
11.823681,25.492901,2.0
12.345321,25.503439,2.0
12.866961,25.513977,2.0
13.388601,25.513977,2.0
13.910241,25.508708,2.0
14.431881,25.487632,2.0
14.953521,25.450748,2.0
15.469892,25.392788,2.0
15.980994,25.303214,2.0
16.486826,25.182025,2.0
16.982121,25.023952,2.0
17.461608,24.823726,2.0
17.920019,24.581348,2.0
18.352084,24.296817,2.0
18.752535,23.970134,2.0
19.126641,23.601297,2.0
19.463863,23.200846,2.0
19.769470,22.768781,2.0
20.043463,22.310370,2.0
20.291110,21.830883,2.0
20.507143,21.335588,2.0
20.702099,20.829755,2.0
20.881248,20.318654,2.0
21.049859,19.802283,2.0
21.207932,19.280643,2.0
21.366004,18.759003,2.0
21.518808,18.237363,2.0
21.671612,17.715723,2.0
21.824415,17.194083,2.0
21.982488,16.672443,2.0
22.135292,16.150803,2.0
22.293364,15.629163,2.0
22.446168,15.107523,2.0
22.598972,14.585883,2.0
22.751775,14.064243,2.0
22.904579,13.542603,2.0
23.052114,13.020963,2.0
23.183841,12.499323,2.0
23.294492,11.977683,2.0
23.368259,11.456043,2.0
23.394604,10.944941,2.0
23.373528,10.449646,2.0
23.294492,9.970159,2.0
23.162764,9.511748,2.0
22.973077,9.074414,2.0
22.725430,8.658155,2.0
22.425092,8.262974,2.0
22.072063,7.888868,2.0
21.676881,7.541108,2.0
21.250084,7.214425,2.0
20.802212,6.914086,2.0
20.343801,6.629555,2.0
19.880121,6.355563,2.0
19.416441,6.092108,2.0
18.952761,5.833923,2.0
18.483812,5.586275,2.0
18.009594,5.349166,2.0
17.530106,5.122595,2.0
17.045350,4.911832,2.0
16.555324,4.706337,2.0
16.060030,4.516650,2.0
15.559466,4.332232,2.0
15.053634,4.158352,2.0
14.542532,3.989741,2.0
14.026161,3.831668,2.0
13.504521,3.684134,2.0
12.982881,3.536599,2.0
12.461241,3.394334,2.0
11.939601,3.252068,2.0
11.417961,3.109803,2.0
10.896321,2.972806,2.0
10.374681,2.830541,2.0
